"","result.scientific_name","result.category","result.criteria"
"605","Salamandra atra","LC"," "
"606","Speleomantes flavus","VU","D2"
"607","Speleomantes genei","VU","B1ab(iii)"
"608","Speleomantes imperialis","NT"," "
"609","Speleomantes italicus","NT"," "
"610","Speleomantes supramontis","EN","B1ab(iii,v)"
"611","Telmatobius atacamensis","CR","A2ace; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)"
"612","Telmatobius peruvianus","VU","B1ab(iii,v)"
"613","Taudactylus acutirostris","CR","A2ace; B2ab(i,ii,iii,iv,v); C2a(i); D"
"614","Taudactylus diurnus","EX"," "
"615","Taudactylus eungellensis","CR","B2ab(v)"
"616","Taudactylus liemi","NT"," "
"617","Taudactylus pleione","CR","B1ab(v)+2ab(v)"
"618","Taudactylus rheophilus","CR","A2ac; B2ab(v)"
"619","Thoropa lutzi","EN","B1ab(iii,v)+2ab(iii,v)"
"620","Thoropa petropolitana","VU","B1ab(iii,v)+2ab(ii,iii,iv,v)"
"621","Triturus cristatus","LC"," "
"622","Triturus dobrogicus","NT"," "
"623","Eurycea spelaea","LC"," "
"624","Uperoleia marmorata","DD"," "
"625","Uperoleia orientalis","DD"," "
"626","Chaltenobatrachus grandisonae","DD"," "
"627","Atelognathus nitoi","VU","D2"
"628","Atelognathus solitarius","VU","D2"
"629","Melanophryniscus moreirae","NT"," "
"630","Batrachoseps simatus","VU","D2"
"631","Batrachoseps stebbinsi","VU","D2"
"632","Batrachoseps campi","EN","B1ab(iii,v)+2ab(iii,v)"
"633","Batrachoseps relictus","DD"," "
"634","Afghanodon mustersi","CR","B2ab(iii)"
"635","Iranodon gorganensis","CR","B1ab(iii)+2ab(iii)"
"636","Bombina bombina","LC"," "
"637","Osteocephalus oophagus","LC"," "
"638","Hypsiboas andinus","LC"," "
"639","Atelognathus ceii","DD"," "
"640","Hylarana chitwanensis","NT"," "
"641","Ischnocnema paranaensis","DD"," "
"642","Dendropsophus amicorum","CR","B1ab(iii)"
"643","Xenohyla eugenioi","DD"," "
"644","Ameerega planipaleae","CR","B1ab(iii)"
"645","Physalaemus maximus","DD"," "
"646","Eleutherodactylus tonyi","CR","B1ab(iii)"
"647","Eleutherodactylus casparii","EN","B1ab(iii)"
"648","Eleutherodactylus goini","VU","B1ab(iii)"
"649","Brachycephalus hermogenesi","LC"," "
"650","Plethodon ainsworthi","EX"," "
"651","Anaxyrus exsul","VU","D2"
"652","Anaxyrus houstonensis","EN","C2a(ii)"
"653","Incilius periglenes","EX"," "
"654","Anaxyrus retiformis","LC"," "
"655","Anaxyrus canorus","EN","A2ae"
"656","Anaxyrus nelsoni","EN","C2a(i)"
"657","Cacosternum poyntoni","DD"," "
"658","Eurycea robusta","DD"," "
"659","Eurycea rathbuni","VU","D2"
"660","Onychodactylus fischeri","LC"," "
"661","Bufo verrucosissimus","NT"," "
"662","Pelodytes caucasicus","NT"," "
"663","Calyptocephalella gayi","VU","A2ad"
"664","Rhinella marina","LC"," "
"665","Litoria alboguttata","LC"," "
"666","Litoria brevipes","LC"," "
"667","Litoria australis","LC"," "
"668","Litoria cryptotis","LC"," "
"669","Litoria cultripes","LC"," "
"670","Litoria burrowsi","LC"," "
"671","Litoria caerulea","LC"," "
"672","Litoria chloris","LC"," "
"673","Litoria citropa","LC"," "
"674","Litoria coplandi","LC"," "
"675","Litoria cyclorhyncha","LC"," "
"676","Litoria dahlii","LC"," "
"677","Litoria electrica","LC"," "
"678","Litoria eucnemis","LC"," "
"679","Litoria ewingii","LC"," "
"680","Litoria gilleni","LC"," "
"681","Litoria gracilenta","LC"," "
"682","Litoria inermis","LC"," "
"683","Litoria latopalmata","LC"," "
"684","Litoria longirostris","LC"," "
"685","Litoria meiriana","LC"," "
"686","Litoria microbelos","LC"," "
"687","Litoria andiirrmalin","VU","D2"
"688","Litoria booroolongensis","CR","B2ab(i,ii,iii,iv,v)"
"689","Litoria cavernicola","DD"," "
"690","Litoria cooloolensis","EN","B1ab(iii)"
"691","Litoria freycineti","VU","B2ab(ii,iii,iv,v)"
"692","Litoria genimaculata","LC"," "
"693","Litoria jervisiensis","LC"," "
"694","Litoria littlejohni","LC"," "
"695","Litoria olongburensis","VU","B1ab(ii,iii,iv)+2ab(ii,iii,iv)"
"696","Litoria subglandulosa","VU","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"697","Cophixalus mcdonaldi","EN","B1ab(v)+2ab(v)"
"698","Cophixalus neglectus","EN","B1ab(v)+2ab(v)"
"699","Cophixalus saxatilis","VU","D2"
"700","Cophixalus peninsularis","DD"," "
"701","Cophixalus zweifeli","DD"," "
"702","Crinia sloanei","DD"," "
"703","Crinia tinnula","VU","B2ab(ii,iii,iv,v)"
"704","Heleioporus australiacus","VU","A2ac"
"705","Notaden weigeli","DD"," "
"706","Pseudophryne covacevichae","EN","B1ab(iii)+2ab(iii)"
"707","Pseudophryne douglasi","LC"," "
"708","Pseudophryne pengilleyi","EN","B1ab(ii,iv,v)+2ab(ii,iv,v)"
"709","Pseudophryne semimarmorata","LC"," "
"710","Spicospina flammocaerulea","VU","D2"
"711","Uperoleia arenicola","DD"," "
"712","Uperoleia aspera","LC"," "
"713","Uperoleia borealis","LC"," "
"714","Uperoleia crassa","LC"," "
"715","Uperoleia martini","DD"," "
"716","Uperoleia micromeles","LC"," "
"717","Uperoleia minima","LC"," "
"718","Uperoleia mjobergii","LC"," "
"719","Uperoleia talpa","LC"," "
"720","Uperoleia trachyderma","LC"," "
"721","Uperoleia tyleri","DD"," "
"722","Litoria longipes","LC"," "
"723","Litoria maculosa","LC"," "
"724","Litoria maini","LC"," "
"725","Litoria manya","LC"," "
"726","Litoria novaehollandiae","LC"," "
"727","Litoria platycephala","LC"," "
"728","Litoria vagitus","LC"," "
"729","Litoria verrucosa","LC"," "
"730","Litoria adelaidensis","LC"," "
"731","Litoria bicolor","LC"," "
"732","Myobatrachus gouldii","LC"," "
"733","Litoria moorei","LC"," "
"734","Neobatrachus albipes","LC"," "
"735","Litoria nasuta","LC"," "
"736","Neobatrachus centralis","LC"," "
"737","Litoria nigrofrenata","LC"," "
"738","Neobatrachus aquilonius","LC"," "
"739","Litoria pallida","LC"," "
"740","Neobatrachus fulvus","LC"," "
"741","Litoria paraewingi","LC"," "
"742","Neobatrachus kunapalari","LC"," "
"743","Litoria peronii","LC"," "
"744","Pseudophryne dendyi","LC"," "
"745","Litoria personata","LC"," "
"746","Pseudophryne guentheri","LC"," "
"747","Litoria phyllochroa","LC"," "
"748","Pseudophryne major","LC"," "
"749","Litoria revelata","LC"," "
"750","Pseudophryne occidentalis","LC"," "
"751","Litoria rothii","LC"," "
"752","Uperoleia altissima","LC"," "
"753","Litoria rubella","LC"," "
"754","Uperoleia capitulata","LC"," "
"755","Litoria splendida","LC"," "
"756","Uperoleia fusca","LC"," "
"757","Litoria tornieri","LC"," "
"758","Uperoleia glandulosa","LC"," "
"759","Uperoleia inundata","LC"," "
"760","Uperoleia laevigata","LC"," "
"761","Litoria watjulumensis","LC"," "
"762","Uperoleia lithomoda","LC"," "
"763","Litoria xanthomera","LC"," "
"764","Uperoleia littlejohni","LC"," "
"765","Cophixalus bombiens","NT"," "
"766","Uperoleia mimula","LC"," "
"767","Cophixalus concinnus","CR","B1ab(v)+2ab(v)"
"768","Cophixalus crepitans","NT"," "
"769","Cophixalus exiguus","NT"," "
"770","Cophixalus hosmeri","LC"," "
"771","Cophixalus infacetus","LC"," "
"772","Cophixalus ornatus","LC"," "
"773","Arenophryne rotunda","LC"," "
"774","Assa darlingtoni","LC"," "
"775","Crinia bilingua","LC"," "
"776","Crinia deserticola","LC"," "
"777","Crinia georgiana","LC"," "
"778","Crinia glauerti","LC"," "
"779","Crinia insignifera","LC"," "
"780","Crinia parinsignifera","LC"," "
"781","Crinia pseudinsignifera","LC"," "
"782","Crinia remota","LC"," "
"783","Crinia riparia","LC"," "
"784","Crinia signifera","LC"," "
"785","Crinia subinsignifera","LC"," "
"786","Crinia tasmaniensis","LC"," "
"787","Geocrinia laevis","LC"," "
"788","Geocrinia leai","LC"," "
"789","Geocrinia lutea","NT"," "
"790","Geocrinia rosea","LC"," "
"791","Geocrinia victoriana","LC"," "
"792","Heleioporus barycragus","LC"," "
"793","Heleioporus eyrei","LC"," "
"794","Heleioporus inornatus","LC"," "
"795","Heleioporus psammophilus","LC"," "
"796","Limnodynastes convexiusculus","LC"," "
"797","Limnodynastes depressus","LC"," "
"798","Limnodynastes dorsalis","LC"," "
"799","Limnodynastes dumerilii","LC"," "
"800","Limnodynastes fletcheri","LC"," "
"801","Limnodynastes interioris","LC"," "
"802","Platyplectrum ornatum","LC"," "
"803","Limnodynastes peronii","LC"," "
"804","Limnodynastes salmini","LC"," "
"805","Platyplectrum spenceri","LC"," "
"806","Limnodynastes tasmaniensis","LC"," "
"807","Limnodynastes terraereginae","LC"," "
"808","Metacrinia nichollsi","LC"," "
"809","Mixophyes schevilli","LC"," "
"810","Neobatrachus pelobatoides","LC"," "
"811","Neobatrachus pictus","LC"," "
"812","Neobatrachus sudelli","LC"," "
"813","Neobatrachus sutor","LC"," "
"814","Neobatrachus wilsmorei","LC"," "
"815","Notaden bennettii","LC"," "
"816","Notaden melanoscaphus","LC"," "
"817","Notaden nichollsi","LC"," "
"818","Paracrinia haswelli","LC"," "
"819","Pseudophryne coriacea","LC"," "
"820","Uperoleia rugosa","LC"," "
"821","Uperoleia russelli","LC"," "
"822","Limnonectes leytensis","LC"," "
"823","Gastrotheca albolineata","LC"," "
"824","Quasipaa fasciculispina","VU","B1ab(iii)"
"825","Limnonectes namiyei","EN","B1ab(iii)"
"826","Alcalus tasanae","VU","B1ab(iii)+2ab(iii)"
"827","Conraua goliath","EN","A2d+3d"
"828","Peltophryne lemur","CR","A2a; B1ab(v)+2ab(v); C2a(ii)"
"829","Austrochaperina adelphe","LC"," "
"830","Austrochaperina fryi","LC"," "
"831","Austrochaperina gracilipes","LC"," "
"832","Austrochaperina pluvialis","LC"," "
"833","Austrochaperina robusta","LC"," "
"834","Crinia nimbus","LC"," "
"835","Philoria kundagungan","EN","B1ab(iii)"
"836","Philoria loveridgei","EN","B1ab(iii)"
"837","Philoria sphagnicolus","EN","B1ab(iii)"
"838","Limnodynastes lignarius","LC"," "
"839","Cryptotriton monzoni","CR","B1ab(iii)"
"840","Arthroleptis aureoli","EN","B1ab(iii)+2ab(iii)"
"841","Hylambates dorsalis","DD"," "
"842","Brachycephalus vertebralis","DD"," "
"843","Adenomus dasi","CR","B1ab(iii)+2ab(iii)"
"844","Adenomus kelaartii","EN","B1ab(iii)+2ab(iii)"
"845","Cardioglossa leucomystax","LC"," "
"846","Ghatophryne ornata","EN","B1ab(iii)"
"847","Ghatophryne rubigina","VU","D2"
"848","Astylosternus batesi","LC"," "
"849","Ansonia siamensis","VU","D2"
"850","Ansonia tiomanica","VU","D2"
"851","Rhinella chrysophora","EN","A2ac; B1ab(iii,v)"
"852","Astylosternus nganhanus","CR","B1ab(iii)+2ab(iii)"
"853","Atelopus angelito","CR","A3ce"
"854","Atelopus arthuri","CR","A2ace; B1ab(iii,v)+2ab(iii,v)"
"855","Atelopus boulengeri","CR","A3ce"
"856","Atelopus carbonerensis","CR","A2ace; B2ab(v)"
"857","Leptodactylodon blanci","DD"," "
"858","Atelopus certus","EN","A3ce"
"859","Atelopus chiriquiensis","CR","A2ace"
"860","Leptodactylodon perreti","EN","B2ab(iii)"
"861","Bombina lichuanensis","VU","B1ab(iii)"
"862","Bombina orientalis","LC"," "
"863","Bombina variegata","LC"," "
"864","Brachycephalus didactylus","LC"," "
"865","Brachycephalus ephippium","LC"," "
"866","Brachycephalus nodoterga","DD"," "
"867","Brachycephalus pernix","DD"," "
"868","Rhaebo olallai","DD"," "
"869","Atelopus chrysocorallus","CR","A2ace; B1ab(iii,v)+2ab(iii,v)"
"870","Atelopus zeteki","CR","A2ace"
"871","Atelopus coynei","CR","A2ace"
"872","Atelopus cruciger","CR","A2ace"
"873","Rhinella achalensis","NT"," "
"874","Atelopus dimorphus","EN","A3e"
"875","Bufo ailaoanus","DD"," "
"876","Incilius alvarius","LC"," "
"877","Atelopus elegans","CR","A2ace"
"878","Bufo aspinius","DD"," "
"879","Duttaphrynus atukoralei","LC"," "
"880","Bufo bankorensis","LC"," "
"881","Anaxyrus baxteri","EW"," "
"882","Atelopus franciscus","VU","A3ce"
"883","Rhinella beebei","LC"," "
"884","Atelopus glyphus","CR","A3ce"
"885","Rhinella bergi","LC"," "
"886","Ingerophrynus biporcatus","LC"," "
"887","Rhaebo blombergi","NT"," "
"888","Incilius bocourti","LC"," "
"889","Atelopus limosus","EN","B1ab(iii)"
"890","Duttaphrynus brevirostris","DD"," "
"891","Barbarophryne brongersmai","NT"," "
"892","Atelopus longirostris","EX"," "
"893","Bufo bufo","LC"," "
"894","Rhaebo caeruleostictus","EN","A2c"
"895","Anaxyrus californicus","EN","A2ac"
"896","Atelopus mucubajiensis","CR","A2ace; B2ab(v)"
"897","Atelopus oxyrhynchus","CR","A2ace"
"898","Atelopus pachydermus","CR","A2ace"
"899","Atelopus pinangoi","CR","A2ac; B1ab(iii,v)"
"900","Atelopus reticulatus","CR","A3ce"
"901","Atelopus sanjosei","DD"," "
"902","Atelopus senex","CR","A2ace"
"903","Atelopus sorianoi","CR","A2ace; B2ab(iii,v)"
"904","Atelopus spumarius","VU","A3ce"
"905","Atelopus tamaense","CR","A3ce"
"906","Atelopus varius","CR","A2ace"
"907","Atelopus vogli","EX"," "
"908","Rhinella amabilis","CR","B1ab(iii)"
"909","Rhinella amboroensis","DD"," "
"910","Rhaebo anderssoni","LC"," "
"911","Bufo andrewsi","LC"," "
"912","Rhinella arenarum","LC"," "
"913","Duttaphrynus himalayanus","LC"," "
"914","Incilius campbelli","NT"," "
"915","Incilius canaliferus","LC"," "
"916","Peltophryne cataulaciceps","EN","B1ab(iii)"
"917","Bufo kabischi","DD"," "
"918","Anaxyrus kelloggi","LC"," "
"919","Incilius coccifer","LC"," "
"920","Duttaphrynus kotagamai","EN","B1ab(iii)+2ab(iii)"
"921","Xanthophryne koynayensis","EN","B1ab(iii)"
"922","Incilius coniferus","LC"," "
"923","Ingerophrynus kumquat","EN","B1ab(iii)"
"924","Bufotes latastii","LC"," "
"925","Incilius cristatus","CR","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"926","Rhinella cristinae","DD"," "
"927","Duttaphrynus crocus","DD"," "
"928","Incilius leucomyos","EN","B1ab(iii)"
"929","Rhinella crucifer","LC"," "
"930","Bufo cryptotympanicus","NT"," "
"931","Peltophryne longinasus","EN","B2ab(iii)"
"932","Rhinella dapsilis","LC"," "
"933","Incilius luetkenii","LC"," "
"934","Anaxyrus debilis","LC"," "
"935","Duttaphrynus dhufarensis","LC"," "
"936","Rhinella diptycha","DD"," "
"937","Incilius macrocristatus","VU","B1ab(iii)"
"938","Ingerophrynus divergens","LC"," "
"939","Rhinella dorbignyi","LC"," "
"940","Peltophryne empusa","VU","B2ab(iii)"
"941","Incilius fastidiosus","CR","A2ace"
"942","Rhinella fernandezae","LC"," "
"943","Rhinella fissipes","LC"," "
"944","Peltophryne fluviatica","CR","B2ab(iii)"
"945","Peltophryne fracta","EN","B1ab(iii)"
"946","Rhinella gallardoi","EN","B1ab(iii)"
"947","Bufo gargarizans","LC"," "
"948","Incilius gemmifer","EN","B1ab(iii)+2ab(iii)"
"949","Rhaebo glaberrimus","LC"," "
"950","Rhinella gnustae","DD"," "
"951","Peltophryne guentheri","VU","B2ab(iii)"
"952","Peltophryne gundlachi","VU","B2ab(iii)"
"953","Rhaebo guttatus","LC"," "
"954","Rhaebo haematiticus","LC"," "
"955","Incilius ibarrai","EN","B1ab(iii)"
"956","Rhinella icterica","LC"," "
"957","Incilius intermedius","DD"," "
"958","Bufo japonicus","LC"," "
"959","Rhinella jimi","LC"," "
"960","Rhinella justinianoi","VU","B1ab(iii)"
"961","Duttaphrynus silentvalleyensis","DD"," "
"962","Rhinella sima","DD"," "
"963","Incilius spiculatus","EN","B1ab(iii)"
"964","Rhinella margaritifera","LC"," "
"965","Anaxyrus speciosus","LC"," "
"966","Incilius marmoreus","LC"," "
"967","Rhinella stanlaii","LC"," "
"968","Incilius mazatlanensis","LC"," "
"969","Incilius melanochlorus","LC"," "
"970","Peltophryne taladai","VU","B1ab(iii)"
"971","Anaxyrus terrestris","LC"," "
"972","Bufo tibetanus","LC"," "
"973","Anaxyrus mexicanus","NT"," "
"974","Anaxyrus microscaphus","LC"," "
"975","Bufo torrenticola","LC"," "
"976","Bufo tuberculatus","NT"," "
"977","Bufo minshanicus","LC"," "
"978","Incilius tutelarius","EN","B1ab(iii,v)"
"979","Incilius nebulifer","LC"," "
"980","Duttaphrynus noellerti","EN","B1ab(iii)"
"981","Incilius valliceps","LC"," "
"982","Nannophryne variegata","LC"," "
"983","Incilius occidentalis","LC"," "
"984","Rhinella veraguensis","LC"," "
"985","Rhinella ocellata","LC"," "
"986","Duttaphrynus olivaceus","LC"," "
"987","Bufo pageoti","NT"," "
"988","Bufo wolongensis","DD"," "
"989","Duttaphrynus parietalis","NT"," "
"990","Anaxyrus woodhousii","LC"," "
"991","Peltophryne peltocephala","LC"," "
"992","Incilius peripatetes","CR","A3ce"
"993","Incilius perplexus","EN","B1ab(iii)"
"994","Rhinella poeppigii","LC"," "
"995","Rhinella proboscidea","LC"," "
"996","Anaxyrus punctatus","LC"," "
"997","Rhinella pygmaea","LC"," "
"998","Rhinella quechua","VU","B1ab(iii)"
"999","Anaxyrus quercicus","LC"," "
"1000","Strauchbufo raddei","LC"," "
"1001","Rhinella roqueana","LC"," "
"1002","Rhinella rubescens","LC"," "
"1003","Rhinella rubropunctata","VU","A2c"
"1004","Rhinella rumbolli","VU","B1ab(iii)"
"1005","Duttaphrynus scaber","LC"," "
"1006","Rhinella schneideri","LC"," "
"1007","Rhinella scitula","DD"," "
"1008","Rhinella sclerocephala","EN","B1ab(iii,v)"
"1009","Duttaphrynus scorteccii","VU","D2"
"1010","Bufo stejnegeri","LC"," "
"1011","Rhinella sternosignata","NT"," "
"1012","Duttaphrynus stomaticus","LC"," "
"1013","Duttaphrynus stuarti","DD"," "
"1014","Incilius tacanensis","EN","B1ab(iii)"
"1015","Osornophryne guacamayo","EN","B1ab(iii)"
"1016","Osornophryne sumacoensis","VU","D2"
"1017","Incilius epioticus","LC"," "
"1018","Dendrophryniscus berthalutzae","LC"," "
"1019","Amazophrynella bokermanni","LC"," "
"1020","Pelophryne rhopophilia","VU","B1ab(iii)"
"1021","Dendrophryniscus brevipollicatus","LC"," "
"1022","Parapelophryne scalpta","EN","B1ab(iii)"
"1023","Dendrophryniscus carvalhoi","EN","B1ab(iii)"
"1024","Pelophryne signata","NT"," "
"1025","Dendrophryniscus leucomystax","LC"," "
"1026","Pseudobufo subasper","LC"," "
"1027","Amazophrynella minuta","LC"," "
"1028","Rhinella acrolopha","DD"," "
"1029","Dendrophryniscus stawiarskyi","DD"," "
"1030","Frostius pernambucensis","LC"," "
"1031","Leptophryne cruentata","CR","A2ac"
"1032","Melanophryniscus atroluteus","LC"," "
"1033","Melanophryniscus cambaraensis","DD"," "
"1034","Melanophryniscus cupreuscapularis","NT"," "
"1035","Rhinella truebae","DD"," "
"1036","Melanophryniscus devincenzii","EN","B2ab(iii)"
"1037","Melanophryniscus dorsalis","VU","B1ab(iii)+2ab(iii)"
"1038","Melanophryniscus fulvoguttatus","LC"," "
"1039","Melanophryniscus klappenbachi","LC"," "
"1040","Melanophryniscus macrogranulosus","VU","B1ab(iii)"
"1041","Melanophryniscus montevidensis","VU","A2ac; B1ab(iii,iv,v)"
"1042","Melanophryniscus orejasmirandai","VU","D2"
"1043","Melanophryniscus pachyrhynus","DD"," "
"1044","Melanophryniscus rubriventris","LC"," "
"1045","Melanophryniscus sanmartini","NT"," "
"1046","Werneria mertensiana","EN","B2ab(iii)"
"1047","Melanophryniscus simplex","DD"," "
"1048","Melanophryniscus spectabilis","DD"," "
"1049","Melanophryniscus stelzneri","LC"," "
"1050","Melanophryniscus tumifrons","LC"," "
"1051","Wolterstorffina parvipalmata","VU","B1ab(iii)"
"1052","Metaphryniscus sosai","VU","D2"
"1053","Oreophrynella cryptica","VU","D2"
"1054","Oreophrynella huberi","VU","D2"
"1055","Oreophrynella macconnelli","VU","D2"
"1056","Oreophrynella nigra","VU","D2"
"1057","Oreophrynella quelchii","VU","D2"
"1058","Oreophrynella vasquezi","VU","D2"
"1059","Osornophryne antisana","EN","B1ab(iii,v)"
"1060","Osornophryne bufoniformis","NT"," "
"1061","Pelophryne brevipes","LC"," "
"1062","Pelophryne guentheri","VU","B1ab(iii)"
"1063","Pelophryne macrotis","DD"," "
"1064","Pelophryne misera","VU","B1ab(iii)"
"1065","Centrolene daidaleum","VU","B1ab(iii)"
"1066","Centrolene acanthidiocephalum","DD"," "
"1067","Cochranella duidaeana","DD"," "
"1068","Centrolene altitudinale","DD"," "
"1069","Espadarana andina","LC"," "
"1070","Cochranella euknemos","LC"," "
"1071","Rulyrana flavopunctata","LC"," "
"1072","Centrolene azulae","EN","B1ab(iii)+2ab(iii)"
"1073","Teratohyla midas","LC"," "
"1074","Centrolene bacatum","DD"," "
"1075","Nymphargus nephelophila","DD"," "
"1076","Centrolene ballux","CR","A2ac; B2ab(iii,iv,v)"
