"auto_id" "taxon_name" "name_c" "redlist_taxon_rank" "category" "version" "criteria" "adjusting" "taxon_group" "name_code" "TBN_scientific_name" "Different_scientific_name" "TBN_taxon_rank" "tp_tid" "ra_tid" "uuid"
89 "Lonchura atricapilla formosana" "黑頭文鳥" "infraspecies" "NVU" "v1080131" "C1; D" NA "bird" "420206" "Lonchura atricapilla formosana" NA "infraspecies" 420206 420206 "9830adf2-86ce-4471-9b22-d6df1ad24538"
90 "Calonectris leucomelas" "大水薙鳥" "species" "NNT" "v1080131" "A2b" "[-1]" "bird" "380200" "Calonectris leucomelas" NA "species" 380200 380200 "b938af4a-88e3-40a9-ba72-52455dfd5b45"
91 "Hydrobates monorhis" "黑叉尾海燕" "species" "NNT" "v1080131" "A2b; C1" "[-1]" "bird" "380203" "Oceanodroma monorhis" "Oceanodroma monorhis" "species" 380203 380203 "92cf552d-708b-45c4-833a-499e8b4732a1"
92 "Platalea minor" "黑面琵鷺" "species" "NNT" "v1080131" "D" NA "bird" "380259" "Platalea minor" NA "species" 380259 380259 "11f17de2-5ee5-4c69-8672-06a46d4283f3"
93 "Pernis ptilorhynchus" "東方蜂鷹" "species" "NNT" "v1080131" "D" "[-1]" "bird" "404628" "Pernis ptilorhynchus" NA "species" 1025168 1025168 "19b1cc22-5e72-4376-b878-eeea24879682"
94 "Ictinaetus malaiensis" "林鵰" "species" "NNT" "v1080131" "D" NA "bird" "380113" "Ictinaetus malaiensis" NA "species" 1024552 1024552 "b2350fcd-44ae-4faf-9777-0e08342613fc"
95 "Accipiter soloensis" "赤腹鷹" "species" "NNT" "v1080131" "A2a" "[-2]" "bird" "380099" "Accipiter soloensis" NA "species" 380099 380099 "361a3560-d085-4fd2-b6f6-521f4c8049a5"
96 "Lewinia striata taiwanus" "灰胸秧雞" "infraspecies" "NNT" "v1080131" "B2b(ii)" NA "bird" "380300" "Gallirallus striatus taiwanus" "Gallirallus striatus taiwanus" "infraspecies" 380300 380300 "93e0a410-8c67-4013-a039-c9f2d2c46ef6"
97 "Haematopus ostralegus" "蠣<U+9D34>" "species" "NNT" "v1080131" "D" "[-2]" "bird" "380145" "Haematopus ostralegus" NA "species" 1024450 1024450 "5aee8378-a6f8-44de-accf-f1922307c575"
98 "Pluvialis squatarola" "灰斑<U+9D34>" "species" "NNT" "v1080131" "A2b" "[-2]" "bird" "420944" "Pluvialis squatarola" NA "species" 420944 420944 "206694cd-785d-48a9-9325-fddfb01e130a"
99 "Charadrius leschenaultii" "鐵嘴<U+9D34>" "species" "NNT" "v1080131" "A2a; C1" "[-1]" "bird" "380141" "Charadrius leschenaultii" NA "species" 1023923 1023923 "faa3e92c-4cd3-468a-b5c4-e07c789c417f"
100 "Tringa brevipes" "黃足鷸" "species" "NNT" "v1080131" "C1" "[-1]" "bird" "419632" "Tringa brevipes" NA "species" 419632 419632 "3f8c00a3-5ec0-4b25-933c-4cc1e3ff7a2a"
101 "Numenius minutus" "小杓鷸" "species" "NNT" "v1080131" "D" "[-1]" "bird" "380237" "Numenius minutus" NA "species" 380237 380237 "29fc16ff-90ba-4308-b815-05d77a4b1c5f"
102 "Sternula albifrons" "小燕鷗" "species" "NNT" "v1080131" "A2a" "[-1]" "bird" "425231" "Sternula albifrons" NA "species" 1025547 1025547 "492cb237-e66a-4af1-841c-58dcbdba08b1"
103 "Otus elegans botelensis" "蘭嶼角鴞" "infraspecies" "NNT" "v1080131" "B1a+2a;  D" NA "bird" "380503" "Otus elegans botelensis" NA "infraspecies" 380503 380503 "4e378931-a9f8-44ce-bfee-d28e9450a62c"
104 "Strix nivicolum yamadae" "東方灰林鴞" "infraspecies" "NNT" "v1080131" "D" NA "bird" "427288" "Strix nivicolum yamadae" NA "infraspecies" 427288 427288 "a4b5ea95-9f25-4a03-9744-4e3c1140c2d7"
105 "Halcyon smyrnensis" "蒼翡翠" "species" "NNT" "v1080131" "D" "[-2]" "bird" "380276" "Halcyon smyrnensis" NA "species" 1024452 1024452 "86c6e158-6df6-4eb8-b46e-a7c5bdeeb815"
106 "Dendrocopos leucotos insularis" "大赤啄木" "infraspecies" "NNT" "v1080131" "D" NA "bird" "380492" "Dendrocopos leucotos insularis" NA "infraspecies" 380492 380492 "6c6fe088-f285-4f0f-8f72-07d140ea6625"
107 "Pericrocotus solaris" "灰喉山椒鳥" "species" "NNT" "v1080131" "C1" NA "bird" "380333" "Pericrocotus solaris" NA "species" 1025157 1025157 "59f07053-6baf-4e5b-8080-158d9a8bb7ec"
108 "Terpsiphone atrocaudata periophthalmica" "紫綬帶" "infraspecies" "NNT" "v1080131" "B2a" NA "bird" "420270" "Terpsiphone atrocaudata periophthalmica" NA "infraspecies" 420270 420270 "2190fbbd-a33a-49f1-8a65-655a0ddb1342"
